Renderer.render,Renderer.unmount,Scene.add,Scene.update,Scene.draw,Scene.clear,Scene.unmount,Camera.addMouseListener,Camera.updateCameraDirection,Camera.update,Camera.unmount,Cube.initBuffers,Cube.update,Model.build,Model.call,Model.getWeights,Model.setWeights,Trainer.step,Trainer.resetState,Trainer.updateWeights,Trainer.isDead,Model.unmount,Trainer.unmount
0.1,0,0,0.044999999552965166,0.005000000074505806,0.020000000298023225,0,0.3999999985098839,0,0.019999999925494193,0,0,0.005000000074505806,1.799999998882413,26.650000000186264,0,0,29.9,0,0,3.234999999962747,0,0
0.06499999947845936,0.09999999776482582,0,0.034999999590218066,0.004999999888241291,0.009999999962747096,0,0.20000000298023224,0,0.024999999813735484,0,0,0.004999999888241291,1.199999999254942,26.819999999925493,0,0,37.03499999903143,0,0,10.20999999921769,0.20000000298023224,0.20000000298023224
0.07000000048428774,0.10000000149011612,0.09999999776482582,0.02500000037252903,0,0.025000000186264516,0,0.10000000149011612,0,0.010000000149011612,0,0.09999999776482582,0.005000000074505806,0.8000000007450581,25.28500000014901,0,0,37.545000000670555,0,0,12.250000000558794,0.09999999776482582,0.09999999776482582
0.07000000048428774,0.10000000149011612,0.09999999776482582,0.04000000040978193,0.005000000074505806,0,0.10000000149011612,0.10000000149011612,0,0.010000000149011612,0.10000000149011612,0.09999999776482582,0.010000000149011612,1.300000000745058,25.39000000040978,0,0,36.64500000067055,0,0,11.245000000111759,0,0
0.0800000000745058,0.10000000149011612,0,0.04500000029802322,0.004999999888241291,0.005000000074505806,0,0,0,0.019999999925494193,0,0,0.010000000149011612,1,25.214999999292196,0,0,38.764999999664724,0,0,13.540000000223518,0.10000000149011612,0.10000000149011612
0.0649999998509884,0.10000000149011612,0.10000000149011612,0.034999999962747094,0,0.014999999850988387,0,0.09999999776482582,0,0.015000000037252903,0,0.10000000149011612,0,1.3999999985098839,27.240000000223517,0,0,39.34499999992549,0,0,12.099999999627471,0.10000000149011612,0.10000000149011612
0.059999999962747096,0,0,0.024999999813735484,0.005000000074505806,0.009999999962747096,0,0.19999999925494194,0,0.014999999850988387,0,0,0,1.5999999977648258,25.579999999701975,0,0,37.864999999664725,0,0,12.284999999962746,0.20000000298023224,0.20000000298023224
0.06999999973922968,0,0.10000000149011612,0.029999999701976775,0,0.015000000037252903,0,0,0,0.015000000037252903,0,0,0,2.100000001490116,25.384999999776483,0,0,38.48999999985099,0,0,13.090000000037254,0.09999999776482582,0.09999999776482582
0.044999999925494194,0,0,0.02000000011175871,0,0.009999999776482582,0,0.10000000149011612,0,0.010000000149011612,0,0,0,1.8999999985098839,25.25000000037253,0,0,36.83500000014901,0,0,11.579999999701977,0.10000000149011612,0.10000000149011612
0.0649999998509884,0.09999999776482582,0,0.030000000074505807,0,0.009999999776482582,0.09999999776482582,0.09999999776482582,0,0.010000000149011612,0.09999999776482582,0,0.009999999962747096,2.100000001490116,25.355000000074504,0,0,37.08999999966473,0,0,11.724999999441206,0,0
